iter	Logloss
0	0.6456852214
1	0.5998659261
2	0.5635655043
3	0.535811971
4	0.5155321587
5	0.4943646918
6	0.4784362793
7	0.4642583211
8	0.449175076
9	0.4383535767
10	0.4254514567
11	0.4163963148
12	0.4086598036
13	0.3999176704
14	0.3894181993
15	0.3822080485
16	0.3753597005
17	0.3710705566
18	0.3625931125
19	0.3559674072
20	0.3506322225
21	0.3477211507
22	0.3447354465
23	0.3423146227
24	0.3393059285
25	0.3368409559
26	0.3346232435
27	0.3325743273
28	0.3278533257
29	0.3251417033
30	0.3232969835
31	0.3211724175
32	0.3180322266
33	0.3164334785
34	0.3140245226
35	0.3117033556
36	0.3100309923
37	0.3081802707
38	0.3064971585
39	0.3034118991
40	0.3020137872
41	0.2982018026
42	0.2958239746
43	0.292815823
44	0.2907025146
45	0.2875446913
46	0.2851965332
47	0.2829602051
48	0.2808388774
49	0.2790959676
50	0.2772810364
51	0.2762004089
52	0.2750496589
53	0.2729432509
54	0.2719043647
55	0.2696136814
56	0.2664429898
57	0.2646614244
58	0.2623227098
59	0.2605295308
60	0.2597063531
61	0.2571437242
62	0.2561853197
63	0.2548071459
64	0.2533438789
65	0.2522660319
66	0.2504188199
67	0.2489376831
68	0.2475375027
69	0.2458926731
70	0.2443488057
71	0.2428359985
72	0.2412083435
73	0.2397362264
74	0.2380673387
75	0.2366357083
76	0.234898902
77	0.2338103231
78	0.2323814901
79	0.230787167
80	0.2290448846
81	0.2270584615
82	0.2256023322
83	0.2241251967
84	0.2219744025
85	0.2209474691
86	0.2190714179
87	0.2183977593
88	0.217918752
89	0.2169197761
90	0.2160060628
91	0.2154530165
92	0.2151646932
93	0.2135508728
94	0.2125065952
95	0.21079422
96	0.209525333
97	0.2077376641
98	0.2073547194
99	0.2057460531
100	0.203543396
101	0.2031749471
102	0.2022183567
103	0.2012691243
104	0.2009830899
105	0.1998550245
106	0.1991790093
107	0.1986879815
108	0.1976240031
109	0.1973039246
110	0.1947936164
111	0.1935360887
112	0.1919534641
113	0.1910091994
114	0.1904648336
115	0.1894244046
116	0.1877734375
117	0.1860515171
118	0.1856881036
119	0.1836557346
120	0.1826182726
121	0.1815683662
122	0.1799411011
123	0.1794065687
124	0.1788866509
125	0.177341902
126	0.1761564467
127	0.1746578471
128	0.1729937914
129	0.1722879537
130	0.1715349155
131	0.1701197984
132	0.1694771322
133	0.1683398777
134	0.1669625685
135	0.1665506151
136	0.1661005317
137	0.1651749166
138	0.1645885552
139	0.1631295437
140	0.1623309326
141	0.1622733222
142	0.1606966146
143	0.1593881565
144	0.1589698622
145	0.1583236355
146	0.1575646973
147	0.1561882697
148	0.1553241815
149	0.1542021179
150	0.1541019016
151	0.1533126662
152	0.1522540453
153	0.1513020325
154	0.1501263767
155	0.1490049405
156	0.1487788561
157	0.1477197266
158	0.1468848334
159	0.1455260722
160	0.1447470771
161	0.1439571126
162	0.1430444675
163	0.1418323093
164	0.1411849043
165	0.1403504774
166	0.1391319614
167	0.1385255093
168	0.137127711
169	0.136097641
170	0.1352181413
171	0.1344604662
172	0.1334159682
173	0.1327459123
174	0.1326748996
175	0.1325950283
176	0.1325611623
177	0.1319205814
178	0.1313053131
179	0.1304840597
180	0.1296277703
181	0.1286064317
182	0.1274397702
183	0.1266113112
184	0.1264930556
185	0.1253395081
186	0.1253155178
187	0.1247095405
188	0.1241081238
189	0.1240789625
190	0.123886244
191	0.1230979326
192	0.1223561096
193	0.1215925344
194	0.1205335829
195	0.1201111518
196	0.1197461785
197	0.1193547906
198	0.1187617662
199	0.1182104492
200	0.1174083116
201	0.1169139438
202	0.1161015998
203	0.1155617269
204	0.1151829529
205	0.1142039405
206	0.1136373562
207	0.1130728997
208	0.1123527188
209	0.1120948876
210	0.1112044101
211	0.1111316427
212	0.1106609429
213	0.1100153351
214	0.1092878638
215	0.1084705861
216	0.1081729974
217	0.1074040137
218	0.1063240899
219	0.105530226
220	0.1053498925
221	0.1053271145
222	0.1046596273
223	0.1041707611
224	0.1032059479
225	0.1026127879
226	0.1024206034
227	0.1018329536
228	0.1012535434
229	0.1009803009
230	0.1008542548
231	0.1005113475
232	0.1003259447
233	0.09997755263
234	0.09955178155
235	0.09906955295
236	0.09822280884
237	0.098123703
238	0.09757654826
239	0.09746468438
240	0.09699689229
241	0.09641476101
242	0.09595023261
243	0.09536882189
244	0.09483398437
245	0.09470811632
246	0.09416805691
247	0.09369932387
248	0.09314690484
249	0.09247185601
250	0.09210733202
251	0.09177547031
252	0.09147247314
253	0.09128036499
254	0.09104544746
255	0.09063140021
256	0.0901449585
257	0.08983444214
258	0.08928682963
259	0.08874212477
260	0.08803885566
261	0.08752145555
262	0.08749112447
263	0.08668987698
264	0.08608624776
265	0.08559448242
266	0.08476608276
267	0.08449179755
268	0.08411142985
269	0.08405833774
270	0.08341537476
271	0.08307861328
272	0.08273508708
273	0.08247699314
274	0.08224446615
275	0.08150054932
276	0.08129798041
277	0.08086198595
278	0.08027971903
279	0.07965077718
280	0.07923597548
281	0.0789586046
282	0.07857822842
283	0.07829954359
284	0.07805615743
285	0.07775423686
286	0.07757858276
287	0.07719316271
288	0.07690403408
289	0.07671251085
290	0.07631260342
291	0.0760367669
292	0.07563093397
293	0.07547890557
294	0.07520790948
295	0.07486968146
296	0.07435940213
297	0.07429561191
298	0.07375172933
299	0.0735692766
300	0.07318150838
301	0.07271525913
302	0.07255147298
303	0.07221132067
304	0.07183235168
305	0.07157810635
306	0.07139048258
307	0.07106280857
308	0.07048441569
309	0.07017578549
310	0.06990048303
311	0.06974699232
312	0.06942112393
313	0.06909994761
314	0.06895272149
315	0.06869565328
316	0.06817156474
317	0.06805458493
318	0.06772560967
319	0.06755136702
320	0.06710365719
321	0.06697118971
322	0.06662631565
323	0.06597078111
324	0.0657928382
325	0.06540207333
326	0.06496722327
327	0.06473433177
328	0.06447690328
329	0.06416877747
330	0.06379249149
331	0.06348615011
332	0.06315398746
333	0.06302465227
334	0.06262464735
335	0.06229601966
336	0.0622425037
337	0.06197763231
338	0.06150199042
339	0.06143218146
340	0.06114278158
341	0.0610490799
342	0.06083019257
343	0.06058007134
344	0.06056134966
345	0.06043679131
346	0.06038021512
347	0.05998374939
348	0.05976367527
349	0.05943312751
350	0.05913235135
351	0.05884148068
352	0.05850478278
353	0.05819218953
354	0.05785199907
355	0.05768447876
356	0.05715862698
357	0.05671399858
358	0.05652729458
359	0.0563297187
360	0.0560888248
361	0.05599828084
362	0.05561970181
363	0.05534227583
364	0.05502735562
365	0.05484276242
366	0.05461068047
367	0.05419260661
368	0.05399899801
369	0.05374156528
370	0.05331821866
371	0.05315976885
372	0.05276841482
373	0.05241689894
374	0.05231601291
375	0.0521046363
376	0.05195141262
377	0.05184016758
378	0.05177444458
379	0.05158975813
380	0.05143064711
381	0.05124872843
382	0.05095729404
383	0.05083450317
384	0.05059561835
385	0.05038722992
386	0.05019876692
387	0.05003027174
388	0.04983082241
389	0.04962516785
390	0.04945891486
391	0.04933785333
392	0.04915252686
393	0.04893811968
394	0.04871990628
395	0.04855028364
396	0.04825328403
397	0.04818126255
398	0.04791697184
399	0.04765424516
400	0.04745847914
401	0.04732299805
402	0.04705302768
403	0.04685512967
404	0.0467442237
405	0.04664569431
406	0.04641700745
407	0.04637107001
408	0.04612390306
409	0.04588088565
410	0.04573910607
411	0.04559344822
412	0.04545473311
413	0.04523379432
414	0.04516624451
415	0.04496175978
416	0.04473649767
417	0.04448003133
418	0.04442128075
419	0.04424662696
420	0.043868298
421	0.04383956485
422	0.04368670146
423	0.04357884725
424	0.04355442895
425	0.0433113522
426	0.04309117635
427	0.04300022125
428	0.04285657247
429	0.04272157033
430	0.04240767585
431	0.04221211751
432	0.04206936306
433	0.04184962802
434	0.04182156881
435	0.04166188558
436	0.04160320706
437	0.04146674686
438	0.04127420637
439	0.04102193197
440	0.04087490929
441	0.04067520142
442	0.040510682
443	0.04037245433
444	0.04014801025
445	0.03996868981
446	0.0398234219
447	0.03977757772
448	0.03955389235
449	0.03943873935
450	0.0393250529
451	0.03917310079
452	0.03891523573
453	0.03887176938
454	0.03874701606
455	0.03851058112
456	0.03830300225
457	0.03810516357
458	0.03798846775
459	0.03792519463
460	0.03766706255
461	0.03745767805
462	0.03743752374
463	0.03726264106
464	0.0371728007
465	0.03696768443
466	0.03688594394
467	0.03676945157
468	0.03659024133
469	0.03648574405
470	0.03644882626
471	0.03637033251
472	0.0363057624
473	0.03616575453
474	0.03599946764
475	0.03581917657
476	0.03564470503
477	0.03545305464
478	0.03530760447
479	0.03525083118
480	0.03518327925
481	0.03496052424
482	0.03485049778
483	0.03475384182
484	0.0345593516
485	0.03447033352
486	0.03428887685
487	0.03427431107
488	0.03420548545
489	0.03413212882
490	0.03402816772
491	0.03384902106
492	0.0337771119
493	0.03371342129
494	0.03357936435
495	0.03339458678
496	0.03334967931
497	0.03328720729
498	0.03309549544
499	0.03302625444
500	0.03295307795
501	0.03284027947
502	0.03281211853
503	0.03269780477
504	0.03257058885
505	0.03251001994
506	0.03238119337
507	0.03230844922
508	0.03216532813
509	0.03205244064
510	0.031788311
511	0.03170602375
512	0.0315833558
513	0.03155171288
514	0.03145472209
515	0.03142296897
516	0.03137955983
517	0.03128312429
518	0.03117628309
519	0.03106310103
520	0.03092810949
521	0.03082394706
522	0.03070170932
523	0.03065028085
524	0.0306207784
525	0.03048645867
526	0.03041498608
527	0.03033634186
528	0.03017283334
529	0.03006359948
530	0.03001038869
531	0.02991478178
532	0.02989927292
533	0.0297572581
534	0.02969946331
535	0.02964222802
536	0.02950890859
537	0.02944835239
538	0.02941281001
539	0.02934991201
540	0.02930116442
541	0.02927908791
542	0.02917459276
543	0.02904237535
544	0.02894868003
545	0.02890908983
546	0.02879580392
547	0.02872729619
548	0.02858719508
549	0.02850386302
550	0.02845527649
551	0.0284095637
552	0.0282563697
553	0.02820832782
554	0.02800624847
555	0.02794981003
556	0.02784765879
557	0.02773252275
558	0.027659768
559	0.02763977051
560	0.02748594496
561	0.02745283975
562	0.02733896467
563	0.02728072272
564	0.02713200039
565	0.02708555857
566	0.02705211851
567	0.02694521162
568	0.02690327538
569	0.02683648851
570	0.02682053036
571	0.02676767985
572	0.02664251328
573	0.02662616094
574	0.02656419542
575	0.02646040599
576	0.02645005544
577	0.02633351432
578	0.02623623742
579	0.02622017543
580	0.02614658568
581	0.02602108849
582	0.02598257701
583	0.02586873584
584	0.02579664866
585	0.02573293474
586	0.02562186771
587	0.02558707979
588	0.0255236223
589	0.02546592289
590	0.02533504698
591	0.02530872345
592	0.02526746326
593	0.02519153171
594	0.02515019099
595	0.02510995017
596	0.02508393394
597	0.02505760405
598	0.02495734321
599	0.02489490509
600	0.02477888531
601	0.02472518709
602	0.02470825831
603	0.0246073299
604	0.02459825728
605	0.02447138892
606	0.0243879297
607	0.02436191771
608	0.0243279012
609	0.0242478625
610	0.02420595381
611	0.02413253784
612	0.02411793603
613	0.02404071808
614	0.02395675023
615	0.02387446933
616	0.02378997379
617	0.023765458
618	0.02374018351
619	0.02364168803
620	0.02358951569
621	0.02354998059
622	0.02351837158
623	0.02344608095
624	0.02342990875
625	0.02337478426
626	0.02337051815
627	0.02330608368
628	0.02329726113
629	0.02327659607
630	0.02317741394
631	0.02311863157
632	0.02306313833
633	0.02296323564
634	0.02295066622
635	0.02291891946
636	0.02285364999
637	0.02273787604
638	0.02272385915
639	0.02263523526
640	0.02256066004
641	0.02252006319
642	0.02242267185
643	0.0224029096
644	0.022343288
645	0.02227702035
646	0.02225780487
647	0.02223770989
648	0.02214424133
649	0.02208727519
650	0.02207892524
651	0.02203954485
652	0.02197806252
653	0.02184672462
654	0.02182073169
655	0.02177839915
656	0.02172909207
657	0.02167026308
658	0.02162090302
659	0.02159595278
660	0.02158996158
661	0.02153678682
662	0.02145277235
663	0.02139894909
664	0.02138821496
665	0.02134758419
666	0.0213271798
667	0.02132068422
668	0.02129313151
669	0.02121745427
670	0.02113927205
671	0.02110534668
672	0.02106448068
673	0.02103954739
674	0.02097684648
675	0.02090485679
676	0.02089328342
677	0.02085923089
678	0.02083215925
679	0.02077775531
680	0.02076366213
681	0.02072532442
