iter	Passed	Remaining
0	159	1273248
1	165	662506
2	171	457039
3	177	354972
4	183	293328
5	189	252179
6	195	223459
7	201	201404
8	208	185216
9	214	171751
10	220	160438
11	226	150982
12	232	143085
13	239	136760
14	245	130827
15	251	125370
16	257	120806
17	262	116580
18	268	112973
19	275	109766
20	281	106854
21	287	104262
22	294	102148
23	300	99840
24	306	97902
25	312	95958
26	319	94259
27	326	92987
28	332	91455
29	339	90194
30	345	88712
31	350	87382
32	356	86159
33	362	84988
34	369	83978
35	374	82843
36	380	81804
37	386	80952
38	393	80326
39	399	79402
40	404	78584
41	411	77890
42	416	77140
43	422	76438
44	436	77168
45	446	77242
46	456	77325
47	467	77454
48	474	76960
49	483	76871
50	490	76419
51	496	75896
52	502	75393
53	508	74898
54	515	74467
55	521	73998
56	527	73576
57	534	73252
58	541	72838
59	546	72370
60	552	71940
61	558	71518
62	563	71020
63	569	70626
64	574	70183
65	580	69766
66	586	69474
67	592	69168
68	598	68781
69	604	68500
70	610	68163
71	616	67875
72	622	67595
73	627	67235
74	633	66888
75	638	66594
76	644	66280
77	649	65965
78	655	65696
79	660	65405
80	666	65161
81	671	64881
82	677	64612
83	682	64351
84	688	64106
85	693	63845
86	699	63602
87	704	63348
88	709	63105
89	715	62870
90	720	62648
91	726	62435
92	731	62235
93	737	62039
94	742	61800
95	748	61591
96	753	61397
97	758	61173
98	764	60998
99	769	60822
100	775	60617
101	780	60446
102	786	60316
103	791	60121
104	797	59952
105	803	59804
106	809	59702
107	815	59591
108	820	59432
109	826	59316
110	832	59201
111	839	59096
112	844	58950
113	850	58821
114	856	58700
115	861	58573
116	867	58474
117	873	58335
118	879	58218
119	885	58130
120	890	58005
121	897	57941
122	903	57849
123	909	57765
124	917	57775
125	922	57674
126	929	57600
127	935	57511
128	941	57448
129	949	57477
130	955	57383
131	960	57276
132	966	57165
133	972	57071
134	978	56977
135	983	56877
136	989	56768
137	994	56672
138	999	56549
139	1005	56429
140	1010	56323
141	1015	56218
142	1021	56104
143	1026	56005
144	1031	55891
145	1036	55768
146	1041	55663
147	1047	55594
148	1053	55484
149	1058	55397
150	1064	55310
151	1068	55191
152	1074	55096
153	1079	54990
154	1084	54882
155	1089	54771
156	1094	54679
157	1099	54576
158	1104	54471
159	1109	54383
160	1114	54277
161	1119	54171
162	1124	54084
163	1129	53988
164	1134	53883
165	1140	53804
166	1145	53716
167	1150	53613
168	1155	53548
169	1161	53482
170	1166	53415
171	1172	53351
172	1177	53289
173	1183	53207
174	1187	53118
175	1193	53042
176	1198	52955
177	1203	52874
178	1208	52812
179	1214	52750
180	1218	52655
181	1224	52597
182	1229	52537
183	1234	52447
184	1240	52396
185	1246	52376
186	1251	52289
187	1257	52242
188	1263	52202
189	1268	52133
190	1273	52082
191	1279	52021
192	1284	51956
193	1290	51907
194	1296	51891
195	1301	51828
196	1306	51767
197	1312	51707
198	1317	51654
199	1323	51615
200	1328	51549
201	1333	51482
202	1339	51450
203	1345	51421
204	1351	51380
205	1356	51330
206	1361	51263
207	1367	51231
208	1373	51197
209	1378	51136
210	1385	51142
211	1390	51090
212	1395	51028
213	1401	50990
214	1406	50930
215	1411	50884
216	1417	50850
217	1422	50796
218	1428	50743
219	1433	50705
220	1438	50643
221	1443	50588
222	1449	50543
223	1454	50499
224	1459	50443
225	1465	50395
226	1470	50344
227	1475	50288
228	1480	50241
229	1485	50189
230	1490	50135
231	1495	50079
232	1501	50040
233	1506	50005
234	1511	49951
235	1517	49912
236	1522	49871
237	1527	49819
238	1533	49781
239	1537	49727
240	1542	49671
241	1548	49631
242	1553	49583
243	1558	49545
244	1564	49512
245	1569	49464
246	1574	49411
247	1579	49379
248	1584	49336
249	1589	49288
250	1595	49247
251	1600	49213
252	1605	49163
253	1610	49113
254	1615	49071
